vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,rate_code,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,imp_surcharge,tip_amount,tolls_amount,total_amount,store_and_fwd_flag
VTS,1.35143556E9,1.35143556E9,-73.991185,40.735903,-73.991215,40.7359,4,3,0.0,CSH,2.5,0.0,0.0,,0.0,0.0,2.5,
CMT,1.23323527E9,1.233235273E9,-73.957269,40.766756,-73.957269,40.766756,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23521226E9,1.23521226E9,-73.966925,40.766707,-73.966925,40.766707,,2,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24057998E9,1.24058004E9,-73.90208,40.763828,-73.902082,40.76383,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24177368E9,1.24177368E9,-73.98863,40.759557,-73.988583,40.75958,,1,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24929558E9,1.24929558E9,-73.937573,40.758227,-73.937572,40.75823,,1,0.0,CRD,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.243190898E9,1.243192108E9,-73.96825,40.786757,-73.998405,40.724745,,3,5.2,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.27609554E9,1.276128E9,0.0,0.0,-73.982008,40.7582,1,1,0.0,CAS,2.5,0.0,0.0,,0.0,0.0,2.5,
DDS,1.2333165E9,1.233317177E9,-74.010297,40.709193,-74.014893,40.7147,,2,0.7,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.25630329E9,1.256304925E9,-73.864067,40.769249,-73.967421,40.769088,,3,10.2,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.244184989E9,1.244185031E9,-73.78381,40.648634,-73.785965,40.645531,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.236680023E9,1.236680063E9,-73.984358,40.759348,-73.984477,40.759025,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24015992E9,1.24015998E9,-73.94447,40.750062,-73.944473,40.75008,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.34752212E9,1.34752218E9,-73.937773,40.758187,-73.937732,40.758207,1,1,0.0,CRD,2.5,0.0,0.0,,0.0,0.0,2.5,
CMT,1.232818589E9,1.232818631E9,-73.948218,40.770705,-73.94984,40.77148,,1,0.1,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.4049003E9,1.4049003E9,-73.937772,40.75836,-73.937773,40.758362,1,1,0.0,CSH,2.5,0.0,0.0,,0.0,0.0,2.5,
VTS,1.24350138E9,1.24350144E9,-73.976218,40.744507,-73.976752,40.743647,,1,0.07,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2444621E9,1.24446216E9,-73.97493,40.790275,-73.973853,40.791833,,1,0.13,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23692424E9,1.2369243E9,-73.975877,40.740467,-73.975725,40.74065,,2,0.04,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.246530729E9,1.246531843E9,-73.972893,40.756298,-73.988859,40.741912,,1,1.4,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23158412E9,1.23158412E9,-74.01125,40.710407,-74.011255,40.71052,,1,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23978594E9,1.23978594E9,-73.961332,40.767843,-73.96097,40.768722,,3,0.07,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,1.232533221E9,1.232533981E9,-73.983966,40.74343,-73.984357,40.743725,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23790188E9,1.23790194E9,-73.976013,40.765638,-73.975998,40.765767,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24645728E9,1.24645728E9,-73.991993,40.72917,-73.991993,40.72917,,1,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.23238056E9,1.232380623E9,-73.975025,40.752693,-73.978625,40.747616,,1,0.2,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24221264E9,1.2422127E9,-73.902058,40.76409,-73.902062,40.764088,,2,0.17,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,1.233990615E9,1.233990638E9,-73.968258,40.787324,-73.968258,40.787324,,1,0.0,NOC,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23366228E9,1.23366228E9,-73.96282,40.771722,-73.962837,40.771755,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.26847446E9,1.2685248E9,0.0,0.0,-73.991015,40.750672,1,5,0.0,CSH,2.5,0.0,0.0,,0.0,0.0,2.5,
VTS,1.25673384E9,1.2567339E9,-73.937498,40.75805,-73.937498,40.75805,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25109552E9,1.25109552E9,-73.991965,40.75978,-73.991965,40.75978,,5,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2458274E9,1.24582746E9,-73.897295,40.754247,-73.897295,40.754247,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24282602E9,1.24282602E9,-73.861443,40.768122,-73.86143,40.768123,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2542337E9,1.2542337E9,-73.937747,40.758283,-73.937747,40.758283,,2,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24948158E9,1.24948164E9,-73.9375,40.758215,-73.937472,40.758238,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.252778845E9,1.252779967E9,-73.960859,40.772317,-73.984571,40.753787,,1,2.3,CSH,2.5,0.0,,,0.0,0.0,2.5,
